wilaya_code,wilaya_name,commune_name,commune_name_ar
1,Adrar,Adrar,أدرار
1,Adrar,Akabli,اقبلي
1,Adrar,Aoulef,أولف
1,Adrar,Bouda,بودة
1,Adrar,Fenoughil,فنوغيل
1,Adrar,"In Zghmir","إن زغمير"
1,Adrar,"Ouled Ahmed Timmi","أولاد أحمد تيمي"
1,Adrar,Reggane,رقان
1,Adrar,Sali,سالي
1,Adrar,Sebaa,السبع
1,Adrar,Tamantit,تامنطيط
1,Adrar,Tamest,تامست
1,Adrar,Timekten,تيمقتن
1,Adrar,Tit,تيت
1,Adrar,Tsabit,تسابيت
1,Adrar,"Zaouiet Kounta","زاوية كنتة"
2,Chlef,"Abou El Hassane","أبو الحسن"
2,Chlef,"Ain Merane","عين مران"
2,Chlef,Benairia,بنايرية
2,Chlef,"Beni Bouattab","بني بوعتاب"
2,Chlef,"Beni Haoua","بني حواء"
2,Chlef,"Beni Rached","بني راشد"
2,Chlef,Boukadir,بوقادير
2,Chlef,Bouzeghaia,بوزغاية
2,Chlef,Breira,بريرة
2,Chlef,Chettia,الشطية
2,Chlef,Chlef,الشلف
2,Chlef,Dahra,الظهرة
2,Chlef,"El Hadjadj",الحجاج
2,Chlef,"El Karimia",الكريمية
2,Chlef,"El Marsa",المرسى
2,Chlef,Harchoun,حرشون
2,Chlef,Herenfa,الهرانفة
2,Chlef,"Labiod Medjadja","الأبيض مجاجة"
2,Chlef,Moussadek,مصدق
2,Chlef,"Oued Fodda","وادي الفضة"
2,Chlef,"Oued Goussine","وادي قوسين"
2,Chlef,"Oued Sly","وادي سلي"
2,Chlef,"Ouled Abbes","أولاد عباس"
2,Chlef,"Ouled Ben Abdelkader","أولاد بن عبد القادر"
2,Chlef,"Ouled Fares","أولاد فارس"
2,Chlef,"Oum Drou","أم الدروع"
2,Chlef,Sendjas,سنجاس
2,Chlef,"Sidi Abderrahmane","سيدي عبد الرحمن"
2,Chlef,"Sidi Akkacha","سيدي عكاشة"
2,Chlef,Sobha,الصبحة
2,Chlef,Tadjena,تاجنة
2,Chlef,Talassa,تلعصة
2,Chlef,Taougrit,تاوقريت
2,Chlef,Tenes,تنس
2,Chlef,Zeboudja,الزبوجة
3,Laghouat,Aflou,أفلو
3,Laghouat,"Ain Madhi","عين ماضي"
3,Laghouat,"Ain Sidi Ali","عين سيدي علي"
3,Laghouat,"Benacer Benchohra","بن ناصر بن شهرة"
3,Laghouat,Brida,بريدة
3,Laghouat,"El Assafia",العسافية
3,Laghouat,"El Beidha",البيضاء
3,Laghouat,"El Ghicha",الغيشة
3,Laghouat,"El Haouaita",الحويطة
3,Laghouat,"Gueltat Sidi Saad","قلتة سيدي سعد"
3,Laghouat,"Hadj Mechri","الحاج مشري"
3,Laghouat,"Hassi Delaa","حاسي الدلاعة"
3,Laghouat,"Hassi R'Mel","حاسي الرمل"
3,Laghouat,Kheneg,الخنق
3,Laghouat,"Ksar El Hirane","قصر الحيران"
3,Laghouat,Laghouat,الأغواط
3,Laghouat,"Oued M'Zi","وادي مزي"
3,Laghouat,"Oued Morra","وادي مرة"
3,Laghouat,Sebgag,سبقاق
3,Laghouat,"Sidi Bouzid","سيدي بوزيد"
3,Laghouat,"Sidi Makhlouf","سيدي مخلوف"
3,Laghouat,Tadjemout,تاجموت
3,Laghouat,Tadjrouna,تاجرونة
3,Laghouat,Taouiala,تاويالة
4,"Oum El Bouaghi","Ain Babouche","عين ببوش"
4,"Oum El Bouaghi","Ain Beida","عين البيضاء"
4,"Oum El Bouaghi","Ain Diss","عين الديس"
4,"Oum El Bouaghi","Ain Fekroun","عين فكرون"
4,"Oum El Bouaghi","Ain Kercha","عين كرشة"
4,"Oum El Bouaghi","Ain Zitoun","عين الزيتون"
4,"Oum El Bouaghi","Aïn M'lila","عين مليلة"
4,"Oum El Bouaghi","Behir Chergui","بحير الشرقي"
4,"Oum El Bouaghi",Berriche,بريش
4,"Oum El Bouaghi","Bir Chouhada","بئر الشهداء"
4,"Oum El Bouaghi",Dhalaa,الضلعة
4,"Oum El Bouaghi","El Amiria",العامرية
4,"Oum El Bouaghi","El Belala",البلالة
4,"Oum El Bouaghi","El Djazia",الجازية
4,"Oum El Bouaghi","El Fedjoudj Boughrara Sa","الفجوج بوغرارة سعودي"
4,"Oum El Bouaghi","El Harmilia",الحرملية
4,"Oum El Bouaghi",Fkirina,فكيرينة
4,"Oum El Bouaghi","Hanchir Toumghani","هنشير تومغني"
4,"Oum El Bouaghi","Ksar Sbahi","قصر الصباحي"
4,"Oum El Bouaghi",Meskiana,مسكيانة
4,"Oum El Bouaghi","Oued Nini","وادي نيني"
4,"Oum El Bouaghi","Ouled Gacem","أولاد قاسم"
4,"Oum El Bouaghi","Ouled Hamla","أولاد حملة"
4,"Oum El Bouaghi","Ouled Zouai","أولاد زواي"
4,"Oum El Bouaghi","Oum El Bouaghi","أم البواقي"
4,"Oum El Bouaghi",Rahia,الرحية
4,"Oum El Bouaghi",Sigus,سيقوس
4,"Oum El Bouaghi","Souk Naamane","سوق نعمان"
4,"Oum El Bouaghi",Zorg,الزرق
5,Batna,"Ain Djasser","عين جاسر"
5,Batna,"Ain Touta","عين التوتة"
5,Batna,"Ain Yagout","عين ياقوت"
5,Batna,Arris,أريس
5,Batna,"Azil Abedelkader","عزيل عبد القادر"
5,Batna,Barika,بريكة
5,Batna,Batna,باتنة
5,Batna,"Beni Foudhala El Hakania","بني فضالة الحقانية"
5,Batna,Bitam,بيطام
5,Batna,Boulhilat,بولهيلات
5,Batna,Boumagueur,بومقر
5,Batna,Boumia,بومية
5,Batna,Bouzina,بوزينة
5,Batna,Chemora,الشمرة
5,Batna,Chir,شير
5,Batna,Djerma,جرمة
5,Batna,Djezzar,الجزار
5,Batna,"El Hassi",الحاسي
5,Batna,"El Madher",المعذر
5,Batna,Fesdis,فسديس
5,Batna,"Foum Toub","فم الطوب"
5,Batna,Ghassira,غسيرة
5,Batna,Gosbat,القصبات
5,Batna,Guigba,القيقبة
5,Batna,Hidoussa,حيدوسة
5,Batna,Ichemoul,إشمول
5,Batna,Inoughissen,إينوغيسن
5,Batna,Kimmel,كيمل
5,Batna,"Ksar Bellezma","قصر بلزمة"
5,Batna,Larbaa,لارباع
5,Batna,Lazrou,لازرو
5,Batna,Lemcene,لمسان
5,Batna,"M Doukal",إمدوكل
5,Batna,Maafa,معافة
5,Batna,Menaa,منعة
5,Batna,Merouana,مروانة
5,Batna,"N Gaous",نقاوس
5,Batna,"Oued Chaaba","وادي الشعبة"
5,Batna,"Oued El Ma","وادي الماء"
5,Batna,"Oued Taga","وادي الطاقة"
5,Batna,"Ouled Ammar","أولاد عمار"
5,Batna,"Ouled Aouf","أولاد عوف"
5,Batna,"Ouled Fadel","أولاد فاضل"
5,Batna,"Ouled Sellem","أولاد سلام"
5,Batna,"Ouled Si Slimane","أولاد سي سليمان"
5,Batna,"Ouyoun El Assafir","عيون العصافير"
5,Batna,Rahbat,الرحبات
5,Batna,"Ras El Aioun","رأس العيون"
5,Batna,Sefiane,سفيان
5,Batna,Seggana,سقانة
5,Batna,Seriana,سريانة
5,Batna,"T Kout",تكوت
5,Batna,Talkhamt,تالخمت
5,Batna,Taxlent,تاكسلانت
5,Batna,Tazoult,تازولت
5,Batna,"Teniet El Abed","ثنية العابد"
5,Batna,Tighanimine,تيغانمين
5,Batna,Tigharghar,تغرغار
5,Batna,Tilatou,تيلاطو
5,Batna,Timgad,تيمقاد
5,Batna,"Zanet El Beida","زانة البيضاء"
6,Béjaïa,Adekar,أدكار
6,Béjaïa,Ait-Smail,"أيت إسماعيل"
6,Béjaïa,Akbou,أقبو
6,Béjaïa,Akfadou,أكفادو
6,Béjaïa,Amalou,أمالو
6,Béjaïa,Amizour,أميزور
6,Béjaïa,Aokas,أوقاس
6,Béjaïa,"Aït R'zine","أيت رزين"
6,Béjaïa,Barbacha,برباشة
6,Béjaïa,Bejaia,بجاية
6,Béjaïa,"Beni Djellil","بني جليل"
6,Béjaïa,"Beni K'sila","بني كسيلة"
6,Béjaïa,Beni-Mallikeche,"بني مليكش"
6,Béjaïa,Benimaouche,"بني معوش"
6,Béjaïa,Boudjellil,"بو جليل"
6,Béjaïa,Bouhamza,بوحمزة
6,Béjaïa,Boukhelifa,بوخليفة
6,Béjaïa,Chellata,شلاطة
6,Béjaïa,Chemini,شميني
6,Béjaïa,Darguina,درقينة
6,Béjaïa,"Dra El Caid","ذراع القايد"
6,Béjaïa,"El Kseur",القصر
6,Béjaïa,"Fenaia Il Maten","فناية الماثن"
6,Béjaïa,Feraoun,فرعون
6,Béjaïa,Ighil-Ali,"إغيل علي"
6,Béjaïa,Ighram,اغرم
6,Béjaïa,Kendira,كنديرة
6,Béjaïa,Kherrata,خراطة
6,Béjaïa,Leflaye,الفلاي
6,Béjaïa,M'cisna,مسيسنة
6,Béjaïa,Melbou,مالبو
6,Béjaïa,"Oued Ghir","وادي غير"
6,Béjaïa,Ouzellaguen,أوزلاقن
6,Béjaïa,Seddouk,صدوق
6,Béjaïa,"Sidi Ayad","سيدي عياد"
6,Béjaïa,Sidi-Aich,"سيدي عيش"
6,Béjaïa,Smaoun,سمعون
6,Béjaïa,"Souk El Tenine","سوق لإثنين"
6,Béjaïa,"Souk Oufella","سوق اوفلا"
6,Béjaïa,"Tala Hamza","تالة حمزة"
6,Béjaïa,Tamokra,تامقرة
6,Béjaïa,Tamridjet,تامريجت
6,Béjaïa,"Taourit Ighil","تاوريرت إغيل"
6,Béjaïa,Taskriout,تاسكريوت
6,Béjaïa,Tazmalt,تازمالت
6,Béjaïa,Tibane,طيبان
6,Béjaïa,Tichy,تيشي
6,Béjaïa,Tifra,تيفرة
6,Béjaïa,Timezrit,تيمزريت
6,Béjaïa,Tinebdar,تينبدار
6,Béjaïa,"Tizi N'Berber","تيزي نبربر"
6,Béjaïa,Toudja,توجة
7,Biskra,"Ain Naga","عين الناقة"
7,Biskra,"Ain Zaatout","عين زعطوط"
7,Biskra,Biskra,بسكرة
7,Biskra,"Bordj Ben Azzouz","برج بن عزوز"
7,Biskra,Bouchakroun,بوشقرون
7,Biskra,Branis,برانيس
7,Biskra,Chetma,شتمة
7,Biskra,Djemorah,جمورة
7,Biskra,"El Feidh",الفيض
7,Biskra,"El Ghrous",الغروس
7,Biskra,"El Hadjab",الحاجب
7,Biskra,"El Haouch",الحوش
7,Biskra,"El Kantara",القنطرة
7,Biskra,"El Outaya",الوطاية
7,Biskra,Foughala,فوغالة
7,Biskra,"Khenguet Sidi Nadji","خنقة سيدي ناجي"
7,Biskra,Lichana,ليشانة
7,Biskra,Lioua,ليوة
7,Biskra,M'Chouneche,مشونش
7,Biskra,M'Lili,مليلي
7,Biskra,Mekhadma,مخادمة
7,Biskra,Meziraa,المزيرعة
7,Biskra,Oumache,أوماش
7,Biskra,Ourlal,أورلال
7,Biskra,"Sidi Okba","سيدي عقبة"
7,Biskra,Tolga,طولقة
7,Biskra,"Zeribet El Oued","زريبة الوادي"
8,Béchar,Abadla,العبادلة
8,Béchar,Bechar,بشار
8,Béchar,Beni-Ounif,"بني ونيف"
8,Béchar,Boukais,بوكايس
8,Béchar,Erg-Ferradj,"عرق فراج"
8,Béchar,Kenadsa,القنادسة
8,Béchar,Lahmar,لحمر
8,Béchar,Machraa-Houari-Boumediene,"مشرع هواري بومدين"
8,Béchar,Meridja,المريجة
8,Béchar,Mogheul,موغل
8,Béchar,Taghit,تاغيت
9,Blida,"Ain Romana","عين الرمانة"
9,Blida,"Beni Mered","بني مراد"
9,Blida,Beni-Tamou,"بني تامو"
9,Blida,Benkhelil,"بن خليل"
9,Blida,Blida,البليدة
9,Blida,Bouarfa,بوعرفة
9,Blida,Boufarik,بوفاريك
9,Blida,Bougara,بوقرة
9,Blida,Bouinan,بوعينان
9,Blida,Chebli,الشبلي
9,Blida,Chiffa,الشفة
9,Blida,Chrea,الشريعة
9,Blida,Djebabra,جبابرة
9,Blida,El-Affroun,العفرون
9,Blida,Guerrouaou,قرواو
9,Blida,"Hammam Elouane","حمام ملوان"
9,Blida,Larbâa,الأربعاء
9,Blida,Meftah,مفتاح
9,Blida,Mouzaia,موزاية
9,Blida,"Oued Djer","وادي جر"
9,Blida,"Oued El Alleug","وادي العلايق"
9,Blida,"Ouled Slama","اولاد سلامة"
9,Blida,"Ouled Yaïch","أولاد يعيش"
9,Blida,Souhane,صوحان
9,Blida,Soumaa,الصومعة
10,Bouira,Aghbalou,أغبالو
10,Bouira,"Ahl El Ksar","أهل القصر"
10,Bouira,"Ain El Hadjar","عين الحجر"
10,Bouira,"Ain Laloui","عين العلوي"
10,Bouira,"Ain Turk","عين الترك"
10,Bouira,Ain-Bessem,"عين بسام"
10,Bouira,"Ait Laaziz","أيت لعزيز"
10,Bouira,Aomar,أعمر
10,Bouira,"Ath Mansour","آث  منصور"
10,Bouira,Bechloul,بشلول
10,Bouira,"Bir Ghbalou","بئر غبالو"
10,Bouira,"Bordj Okhriss","برج أوخريص"
10,Bouira,Bouderbala,بودربالة
10,Bouira,Bouira,البويرة
10,Bouira,Boukram,بوكرم
10,Bouira,Chorfa,شرفة
10,Bouira,Dechmia,الدشمية
10,Bouira,Dirah,ديرة
10,Bouira,Djebahia,جباحية
10,Bouira,"El Adjiba",العجيبة
10,Bouira,"El Asnam",الأسنام
10,Bouira,"El Hachimia",الهاشمية
10,Bouira,"El Khabouzia",الخبوزية
10,Bouira,El-Hakimia,الحاكمية
10,Bouira,El-Mokrani,المقراني
10,Bouira,Guerrouma,قرومة
10,Bouira,"Hadjera Zerga","الحجرة الزرقاء"
10,Bouira,Haizer,حيزر
10,Bouira,Hanif,حنيف
10,Bouira,Kadiria,قادرية
10,Bouira,Lakhdaria,الأخضرية
10,Bouira,"M Chedallah",أمشدالة
10,Bouira,Maala,معلة
10,Bouira,Maamora,المعمورة
10,Bouira,Mezdour,مزدور
10,Bouira,"Oued El Berdi","وادي البردي"
10,Bouira,"Ouled Rached","أولاد راشد"
10,Bouira,Raouraoua,روراوة
10,Bouira,Ridane,ريدان
10,Bouira,Saharidj,سحاريج
10,Bouira,"Souk El Khemis","سوق الخميس"
10,Bouira,"Sour El Ghozlane","سور الغزلان"
10,Bouira,Taghzout,تاغزوت
10,Bouira,Taguedite,تاقديت
10,Bouira,"Z'barbar (El Isseri )",زبربر
11,Tamanrasset,Abelsa,ابلسة
11,Tamanrasset,"Ain Amguel","عين امقل"
11,Tamanrasset,Idles,أدلس
11,Tamanrasset,Tamanrasset,تمنراست
11,Tamanrasset,Tazrouk,تاظروك
12,Tébessa,"Ain Zerga","عين الزرقاء"
12,Tébessa,Bedjene,بجن
12,Tébessa,Bekkaria,بكارية
12,Tébessa,"Bir Dheheb","بئر الذهب"
12,Tébessa,"Bir Mokkadem","بئر مقدم"
12,Tébessa,Bir-El-Ater,"بئر العاتر"
12,Tébessa,Boukhadra,بوخضرة
12,Tébessa,"Boulhaf Dyr","بولحاف الدير"
12,Tébessa,Cheria,الشريعة
12,Tébessa,"El Kouif",الكويف
12,Tébessa,"El Malabiod","الماء الابيض"
12,Tébessa,"El Meridj",المريج
12,Tébessa,"El Mezeraa",المزرعة
12,Tébessa,"El Ogla",العقلة
12,Tébessa,"El Ogla El Malha","العقلة المالحة"
12,Tébessa,El-Aouinet,العوينات
12,Tébessa,El-Houidjbet,الحويجبات
12,Tébessa,Ferkane,فركان
12,Tébessa,Guorriguer,قريقر
12,Tébessa,Hammamet,الحمامات
12,Tébessa,Morsott,مرسط
12,Tébessa,Negrine,نقرين
12,Tébessa,Ouenza,الونزة
12,Tébessa,"Oum Ali","أم علي"
12,Tébessa,"Saf Saf El Ouesra","صفصاف الوسرى"
12,Tébessa,"Stah Guentis","سطح قنطيس"
12,Tébessa,Tebessa,تبسة
12,Tébessa,Telidjen,ثليجان
13,Tlemcen,"Ain Fetah","عين فتاح"
13,Tlemcen,"Ain Fezza","عين فزة"
13,Tlemcen,"Ain Ghoraba","عين غرابة"
13,Tlemcen,"Ain Kebira","عين الكبيرة"
13,Tlemcen,"Ain Nehala","عين النحالة"
13,Tlemcen,"Ain Tellout","عين تالوت"
13,Tlemcen,"Ain Youcef","عين يوسف"
13,Tlemcen,Amieur,عمير
13,Tlemcen,Azail,العزايل
13,Tlemcen,"Bab El Assa","باب العسة"
13,Tlemcen,"Beni Bahdel","بني بهدل"
13,Tlemcen,"Beni Boussaid","بني بوسعيد"
13,Tlemcen,"Beni Khellad","بني خلاد"
13,Tlemcen,"Beni Mester","بني مستر"
13,Tlemcen,"Beni Ouarsous","بني وارسوس"
13,Tlemcen,"Beni Smiel","بني صميل"
13,Tlemcen,"Beni Snous","بني سنوس"
13,Tlemcen,Bensekrane,"بن سكران"
13,Tlemcen,Bouhlou,بوحلو
13,Tlemcen,Bouihi,البويهي
13,Tlemcen,Chetouane,شتوان
13,Tlemcen,"Dar Yaghmoracen","دار يغمراسن"
13,Tlemcen,Djebala,جبالة
13,Tlemcen,"El Aricha",العريشة
13,Tlemcen,"El Fehoul",الفحول
13,Tlemcen,"El Gor",القور
13,Tlemcen,Fellaoucene,فلاوسن
13,Tlemcen,Ghazaouet,الغزوات
13,Tlemcen,"Hammam Boughrara","حمام بوغرارة"
13,Tlemcen,Hennaya,الحناية
13,Tlemcen,Honnaine,هنين
13,Tlemcen,"MSirda Fouaga","مسيردة الفواقة"
13,Tlemcen,Maghnia,مغنية
13,Tlemcen,Mansourah,منصورة
13,Tlemcen,"Marsa Ben M'Hidi","مرسى بن مهيدي"
13,Tlemcen,Nedroma,ندرومة
13,Tlemcen,"Oued Lakhdar","وادي الخضر"
13,Tlemcen,"Ouled Mimoun","أولاد ميمون"
13,Tlemcen,"Ouled Riyah","أولاد رياح"
13,Tlemcen,Remchi,الرمشي
13,Tlemcen,Sabra,صبرة
13,Tlemcen,"Sebbaa Chioukh","سبعة شيوخ"
13,Tlemcen,Sebdou,سبدو
13,Tlemcen,"Sidi Abdelli","سيدي العبدلي"
13,Tlemcen,"Sidi Djillali","سيدي الجيلالي"
13,Tlemcen,"Sidi Medjahed","سيدي مجاهد"
13,Tlemcen,Souahlia,السواحلية
13,Tlemcen,Souani,السواني
13,Tlemcen,"Souk Tleta","سوق الثلاثاء"
13,Tlemcen,"Terny Beni Hediel","تيرني بني هديل"
13,Tlemcen,Tianet,تيانت
13,Tlemcen,Tlemcen,تلمسان
13,Tlemcen,Zenata,زناتة
14,Tiaret,"Ain Bouchekif","عين بوشقيف"
14,Tiaret,"Ain Deheb","عين الذهب"
14,Tiaret,"Ain Dzarit","عين دزاريت"
14,Tiaret,"Ain El Hadid","عين الحديد"
14,Tiaret,"Ain Kermes","عين كرمس"
14,Tiaret,Bougara,بوقرة
14,Tiaret,Chehaima,شحيمة
14,Tiaret,Dahmouni,دحموني
14,Tiaret,"Djebilet Rosfa","جبيلات الرصفاء"
14,Tiaret,"Djillali Ben Amar","جيلالي بن عمار"
14,Tiaret,Faidja,الفايجة
14,Tiaret,Frenda,فرندة
14,Tiaret,Guertoufa,قرطوفة
14,Tiaret,Hamadia,حمادية
14,Tiaret,"Ksar Chellala","قصر الشلالة"
14,Tiaret,Madna,مادنة
14,Tiaret,Mahdia,مهدية
14,Tiaret,"Mechraa Safa","مشرع الصفا"
14,Tiaret,Medrissa,مدريسة
14,Tiaret,Medroussa,مدروسة
14,Tiaret,Meghila,مغيلة
14,Tiaret,Mellakou,ملاكو
14,Tiaret,Nadorah,الناظورة
14,Tiaret,Naima,النعيمة
14,Tiaret,"Oued Lilli","وادي ليلي"
14,Tiaret,Rahouia,الرحوية
14,Tiaret,Rechaiga,الرشايقة
14,Tiaret,Sebaine,السبعين
14,Tiaret,Sebt,السبت
14,Tiaret,Serghine,سرغين
14,Tiaret,"Si Abdelghani","سي عبد الغني"
14,Tiaret,"Sidi Abderrahmane","سيدي عبد الرحمن"
14,Tiaret,"Sidi Ali Mellal","سيدي علي ملال"
14,Tiaret,"Sidi Bakhti","سيدي بختي"
14,Tiaret,"Sidi Hosni","سيدي حسني"
14,Tiaret,Sougueur,السوقر
14,Tiaret,Tagdempt,تاقدمت
14,Tiaret,Takhemaret,تخمرت
14,Tiaret,Tiaret,تيارت
14,Tiaret,Tidda,تيدة
14,Tiaret,Tousnina,توسنينة
14,Tiaret,"Zmalet El Emir Abdelkade","زمالة  الأمير عبد القادر"
15,"Tizi Ouzou",Abi-Youcef,"أبي يوسف"
15,"Tizi Ouzou",Aghribs,أغريب
15,"Tizi Ouzou",Agouni-Gueghrane,"أقني قغران"
15,"Tizi Ouzou",Ain-El-Hammam,"عين الحمام"
15,"Tizi Ouzou",Ain-Zaouia,"عين الزاوية"
15,"Tizi Ouzou","Ait Aggouacha","أيت عقـواشة"
15,"Tizi Ouzou","Ait Bouaddou","أيت بــوادو"
15,"Tizi Ouzou","Ait Boumahdi","أيت بومهدي"
15,"Tizi Ouzou","Ait Khellili","أيت خليلي"
15,"Tizi Ouzou","Ait Yahia Moussa","أيت يحي موسى"
15,"Tizi Ouzou",Ait-Aissa-Mimoun,"أيت عيسى ميمون"
15,"Tizi Ouzou",Ait-Chafaa,"أيت شافع"
15,"Tizi Ouzou",Ait-Mahmoud,"أيت محمود"
15,"Tizi Ouzou",Ait-Oumalou,"أيت  أومالو"
15,"Tizi Ouzou",Ait-Toudert,"أيت تودرت"
15,"Tizi Ouzou",Ait-Yahia,"أيت يحيى"
15,"Tizi Ouzou",Akbil,اقبيل
15,"Tizi Ouzou",Akerrou,أقرو
15,"Tizi Ouzou",Assi-Youcef,"أسي يوسف"
15,"Tizi Ouzou",Azazga,عزازقة
15,"Tizi Ouzou",Azeffoun,أزفون
15,"Tizi Ouzou","Beni Zmenzer","بنــــي زمنزار"
15,"Tizi Ouzou",Beni-Aissi,"بني عيسي"
15,"Tizi Ouzou",Beni-Douala,"بني دوالة"
15,"Tizi Ouzou",Beni-Yenni,"بني يني"
15,"Tizi Ouzou",Beni-Zikki,"بني زيكــي"
15,"Tizi Ouzou",Boghni,بوغني
15,"Tizi Ouzou",Boudjima,بوجيمة
15,"Tizi Ouzou",Bounouh,بونوح
15,"Tizi Ouzou",Bouzeguene,بوزقــن
15,"Tizi Ouzou",Draa-Ben-Khedda,"ذراع بن خدة"
15,"Tizi Ouzou",Draa-El-Mizan,"ذراع الميزان"
15,"Tizi Ouzou",Freha,فريحة
15,"Tizi Ouzou",Frikat,فريقات
15,"Tizi Ouzou",Iboudrarene,إبودرارن
15,"Tizi Ouzou",Idjeur,إيجــار
15,"Tizi Ouzou",Iferhounene,إفــرحــونان
15,"Tizi Ouzou",Ifigha,إيفيغاء
15,"Tizi Ouzou",Iflissen,إفليـــسن
15,"Tizi Ouzou",Illilten,إيلـيــلتـن
15,"Tizi Ouzou","Illoula Oumalou","إيلولة أومـــالو"
15,"Tizi Ouzou",Imsouhal,إمســوحال
15,"Tizi Ouzou",Irdjen,إيرجـــن
15,"Tizi Ouzou","Larbaa Nath Irathen","الأربعــاء ناث إيراثن"
15,"Tizi Ouzou",M'Kira,مكيرة
15,"Tizi Ouzou",Maatkas,معـــاتقة
15,"Tizi Ouzou",Makouda,ماكودة
15,"Tizi Ouzou",Mechtras,مشطراس
15,"Tizi Ouzou",Mekla,مقــلع
15,"Tizi Ouzou",Mizrana,ميزرانـــة
15,"Tizi Ouzou",Ouacif,واسيف
15,"Tizi Ouzou",Ouadhias,واضية
15,"Tizi Ouzou",Ouaguenoun,واقنون
15,"Tizi Ouzou","Sidi Namane","سيدي نعمان"
15,"Tizi Ouzou",Souama,صوامـــع
15,"Tizi Ouzou",Souk-El-Tenine,"سوق الإثنين"
15,"Tizi Ouzou",Tadmait,تادمايت
15,"Tizi Ouzou",Tigzirt,تيقـزيرت
15,"Tizi Ouzou",Timizart,تيمـيزار
15,"Tizi Ouzou",Tirmitine,تيرمتين
15,"Tizi Ouzou","Tizi N'Tleta","تيزي نثلاثة"
15,"Tizi Ouzou",Tizi-Gheniff,"تيزي غنيف"
15,"Tizi Ouzou",Tizi-Ouzou,"تيزي وزو"
15,"Tizi Ouzou",Tizi-Rached,"تيزي راشد"
15,"Tizi Ouzou",Yakourene,إعــكورن
15,"Tizi Ouzou",Yatafene,يطــافن
15,"Tizi Ouzou",Zekri,زكري
16,Alger,"Ain Benian","عين بنيان"
16,Alger,"Ain Taya","عين طاية"
16,Alger,"Alger Centre","الجزائر الوسطى"
16,Alger,"Bab El Oued","باب الوادي"
16,Alger,"Bab Ezzouar","باب الزوار"
16,Alger,"Baba Hassen","بابا حسن"
16,Alger,Bachedjerah,"باش جراح"
16,Alger,Baraki,براقي
16,Alger,"Ben Aknoun","ابن عكنون"
16,Alger,"Beni Messous","بني مسوس"
16,Alger,"Bir Mourad Rais","بئر مراد رايس"
16,Alger,"Bir Touta","بئر توتة"
16,Alger,Birkhadem,"بئر خادم"
16,Alger,"Bologhine Ibnou Ziri","بولوغين بن زيري"
16,Alger,"Bordj El Bahri","برج البحري"
16,Alger,"Bordj El Kiffan","برج الكيفان"
16,Alger,Bourouba,بوروبة
16,Alger,Bouzareah,بوزريعة
16,Alger,Casbah,القصبة
16,Alger,Cheraga,الشراقة
16,Alger,"Dar El Beida","الدار البيضاء"
16,Alger,"Dely Ibrahim","دالي ابراهيم"
